"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2852","Invalid Login: 5. Email has no mail server and domain","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","3178","6. No state input","chromium","2026-06-29","passed","2026-06-29","Signup Functionality","","",""
"","10134","Storing login session to be used in test scenarios","chromium","2026-06-29","passed","2026-06-29","","","",""
"","2586","Invalid Login: 7. Empty email","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2465","Invalid Signup: 1. Empty name","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2337","Invalid Signup: 5. Email has no mail server and domain","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2223","2. Email has no mail server and domain","chromium","2026-06-29","passed","2026-06-29","","","",""
"","2954","Invalid Login: 4. Email has no @ symbol","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2470","Invalid Signup: 3. Empty name and email","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2804","2. No first name input","chromium","2026-06-29","passed","2026-06-29","Signup Functionality","","",""
"","1882","5. Email has special character after @ symbol","chromium","2026-06-29","passed","2026-06-29","","","",""
"","2417","Invalid Signup: 6. Email has no username","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","1993","Invalid Login: 8. Empty password","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","3258","5. No city input","chromium","2026-06-29","passed","2026-06-29","Signup Functionality","","",""
"","2283","1. Email has no @ symbol","chromium","2026-06-29","passed","2026-06-29","","","",""
"","3380","7. No zipcode input","chromium","2026-06-29","passed","2026-06-29","Signup Functionality","","",""
"","5859","Invalid Login: 1. Wrong email","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2523","Invalid Signup: 4. Email has no @ symbol","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2312","4. Empty email","chromium","2026-06-29","passed","2026-06-29","","","",""
"","2663","Invalid Login: 9. Empty email and password","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","9966","Invalid Login: 2. Wrong password","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2957","Invalid Login: 3. Wrong email and password","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2577","8. No mobile number input","chromium","2026-06-29","passed","2026-06-29","Signup Functionality","","",""
"","3186","3. No lastname input","chromium","2026-06-29","passed","2026-06-29","Signup Functionality","","",""
"","2203","3. Email has no username","chromium","2026-06-29","passed","2026-06-29","","","",""
"","2090","Invalid Login: 10. Email has special character after @ symbol","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","2501","Invalid Signup: 2. Empty email","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","8584","Successfully checkout a product","chromium","2026-06-29","passed","2026-06-29","","","",""
"","3084","Invalid Signup: 7. Email has special character after @ symbol","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","3354","1. No password input","chromium","2026-06-29","passed","2026-06-29","Signup Functionality","","",""
"","3609","4. No address1 input","chromium","2026-06-29","passed","2026-06-29","Signup Functionality","","",""
"","3189","Invalid Login: 6. Email has no username","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
"","3352","Invalid Signup: 8. Email address already exists","chromium","2026-06-29","passed","2026-06-29","Login Functionality","","",""
